DATE,NUMERO/NOME DO RELATORIO,SUCESSO-FRACASSO
2020-07-03 02:33:48,63,sucesso
2020-07-03 02:33:48,63,sucesso
2020-07-03 02:33:51,65,sucesso
2020-07-03 02:33:54,63,sucesso
2020-07-07 15:35:53,1,FRACASSO
2020-07-07 15:36:29,2,FRACASSO
2020-07-07 15:36:33,3,FRACASSO
2020-07-07 15:36:37,4,FRACASSO
2020-07-07 15:36:41,5,FRACASSO
2020-07-07 15:36:44,6,FRACASSO
2020-07-07 15:36:48,7,FRACASSO
2020-07-07 15:36:51,8,FRACASSO
2020-07-07 15:36:55,9,FRACASSO
2020-07-07 15:36:59,10,FRACASSO
2020-07-07 15:37:03,11,FRACASSO
2020-07-07 15:37:07,12,FRACASSO
2020-07-07 15:37:11,13,FRACASSO
2020-07-07 15:37:14,14,FRACASSO
2020-07-07 15:37:18,15,FRACASSO
2020-07-07 15:37:22,16,FRACASSO
2020-07-07 15:37:25,17,FRACASSO
2020-07-07 15:37:29,18,FRACASSO
2020-07-07 15:37:32,19,FRACASSO
2020-07-07 15:37:36,20,FRACASSO
2020-07-07 15:37:40,21,FRACASSO
2020-07-07 15:37:43,22,FRACASSO
2020-07-07 15:37:47,23,FRACASSO
2020-07-07 15:37:50,24,sucesso
2020-07-07 15:38:06,25,sucesso
2020-07-07 15:38:22,26,sucesso
2020-07-07 15:38:37,27,sucesso
2020-07-07 15:38:52,28,sucesso
2020-07-07 15:39:08,29,sucesso
2020-07-07 15:39:24,31,sucesso
2020-07-07 15:39:40,32,sucesso
2020-07-07 15:39:56,33,sucesso
2020-07-07 16:06:26,1,FRACASSO
2020-07-07 16:06:48,2,FRACASSO
2020-07-07 16:06:52,3,FRACASSO
2020-07-07 16:06:56,4,FRACASSO
2020-07-07 16:06:59,5,FRACASSO
2020-07-07 16:07:02,6,FRACASSO
2020-07-07 16:07:06,7,FRACASSO
2020-07-07 16:07:10,8,FRACASSO
2020-07-07 16:07:13,9,FRACASSO
2020-07-07 16:07:17,10,FRACASSO
2020-07-07 16:07:20,11,FRACASSO
2020-07-07 16:07:24,12,FRACASSO
2020-07-07 16:07:27,13,FRACASSO
2020-07-07 16:07:31,14,FRACASSO
2020-07-07 16:07:34,15,FRACASSO
2020-07-07 16:07:38,16,FRACASSO
2020-07-07 16:07:41,17,FRACASSO
2020-07-07 16:07:44,18,FRACASSO
2020-07-07 16:07:47,19,FRACASSO
2020-07-07 16:07:51,20,FRACASSO
2020-07-07 16:07:54,21,FRACASSO
2020-07-07 16:07:58,22,FRACASSO
2020-07-07 16:08:01,23,FRACASSO
2020-07-07 16:08:04,24,sucesso
2020-07-07 16:08:19,25,sucesso
2020-07-07 16:08:35,26,sucesso
2020-07-07 16:08:50,27,sucesso
2020-07-07 16:09:05,28,sucesso
2020-07-07 16:09:20,29,sucesso
2020-07-07 16:09:35,30,sucesso
2020-07-07 16:09:50,31,sucesso
